Transaction Hash,Date,From,To,Value,DOT_USD,Symbol,Acquainted?
0xdf821cb80860f015bff9ef1818cbb16e93682f071254f76a173db3db133dc534,2022-12-09 14:26:11,Metagov,Public Goods,5.0,6314.75,ETH,1
0x4b7a83083e0368c93a1eba285ea7967e48f56a2a28cc011b9e7aea9e7ee52dbc,2022-12-19 00:00:00,Public Goods,Gitcoin Multisig,-50000.0,-50000.0,USDC,1
0x11bf109a0989c151aea7da5494e641ba215307e83a43480c56af785fe8b6eb5d,2022-12-19 00:00:00,Public Goods,Service Providers,-72000.0,-72000.0,USDC,1
0xe9558ab94709edf707861bd7e55b50b73da9ee64d1ffff1cb92736f9a73d6a57,2023-02-07 19:49:23,Public Goods,PG Small Grants,-1.0,-1671.61,ETH,1
0xe9558ab94709edf707861bd7e55b50b73da9ee64d1ffff1cb92736f9a73d6a57,2023-02-07 19:49:23,Public Goods,PG Small Grants,-1.0,-1671.61,ETH,1
0xe9558ab94709edf707861bd7e55b50b73da9ee64d1ffff1cb92736f9a73d6a57,2023-02-07 19:49:23,Public Goods,PG Small Grants,-1.0,-1671.61,ETH,1
0xe9558ab94709edf707861bd7e55b50b73da9ee64d1ffff1cb92736f9a73d6a57,2023-02-07 19:49:23,Public Goods,PG Small Grants,-1.0,-1671.61,ETH,1
0xe9558ab94709edf707861bd7e55b50b73da9ee64d1ffff1cb92736f9a73d6a57,2023-02-07 19:49:23,Public Goods,PG Small Grants,-1.0,-1671.61,ETH,1
0xd8feed2155cc6285d1bf5a89836d8980e613268d583715f5fc5b3ae8c031c4d7,2023-02-09 00:00:00,DAO Wallet,Public Goods,250000.0,250000.0,USDC,1
0x3dae72cc248fcf2cc529ec9325f674d0899547db4a54455a7436aa0048b7e2fc,2023-02-09 00:00:00,Public Goods,Hackatons ,-10000.0,-10000.0,USDC,1
0xd8feed2155cc6285d1bf5a89836d8980e613268d583715f5fc5b3ae8c031c4d7,2023-02-09 09:10:23,DAO Wallet,Public Goods,50.0,77289.0,ETH,1
0x344b3144dca0a671ddd788533499da3be57cae470ff15e3807dbf4e1831c6662,2023-03-10 14:20:11,Public Goods,PG Small Grants,-1.0,-1431.49,ETH,1
0x344b3144dca0a671ddd788533499da3be57cae470ff15e3807dbf4e1831c6662,2023-03-10 14:20:11,Public Goods,PG Small Grants,-1.0,-1431.49,ETH,1
0x344b3144dca0a671ddd788533499da3be57cae470ff15e3807dbf4e1831c6662,2023-03-10 14:20:11,Public Goods,PG Small Grants,-1.0,-1431.49,ETH,1
0x344b3144dca0a671ddd788533499da3be57cae470ff15e3807dbf4e1831c6662,2023-03-10 14:20:11,Public Goods,PG Small Grants,-1.0,-1431.49,ETH,1
0x344b3144dca0a671ddd788533499da3be57cae470ff15e3807dbf4e1831c6662,2023-03-10 14:20:11,Public Goods,PG Small Grants,-1.0,-1431.49,ETH,1
0x2319556263ef4785dc27210288f11c1bbf4fefa9544a9bcf49e4fd9ee15944a2,2023-03-30 17:37:11,Public Goods,PG Small Grants,-1.0,-1794.03,ETH,1
0x2319556263ef4785dc27210288f11c1bbf4fefa9544a9bcf49e4fd9ee15944a2,2023-03-30 17:37:11,Public Goods,PG Small Grants,-1.0,-1794.03,ETH,1
0x2319556263ef4785dc27210288f11c1bbf4fefa9544a9bcf49e4fd9ee15944a2,2023-03-30 17:37:11,Public Goods,PG Small Grants,-1.0,-1794.03,ETH,1
0x2319556263ef4785dc27210288f11c1bbf4fefa9544a9bcf49e4fd9ee15944a2,2023-03-30 17:37:11,Public Goods,PG Small Grants,-1.0,-1794.03,ETH,1
0x2319556263ef4785dc27210288f11c1bbf4fefa9544a9bcf49e4fd9ee15944a2,2023-03-30 17:37:11,Public Goods,PG Small Grants,-1.0,-1794.03,ETH,1
0xac816e8e297f9ac511e302c0a0bd1be7cff9473b485a827637d76c0e153568aa,2023-03-31 00:00:00,Public Goods,Gitcoin Multisig,-50000.0,-50000.0,USDC,1
0xcc3d6d4e9f27a7c6401fb9827f13049a730b65baab5141f2531945d0c1a559e4,2023-04-24 17:08:35,Public Goods,PG Small Grants,-1.0,-1842.51,ETH,1
0xcc3d6d4e9f27a7c6401fb9827f13049a730b65baab5141f2531945d0c1a559e4,2023-04-24 17:08:35,Public Goods,PG Small Grants,-1.0,-1842.51,ETH,1
0xcc3d6d4e9f27a7c6401fb9827f13049a730b65baab5141f2531945d0c1a559e4,2023-04-24 17:08:35,Public Goods,PG Small Grants,-1.0,-1842.51,ETH,1
0xcc3d6d4e9f27a7c6401fb9827f13049a730b65baab5141f2531945d0c1a559e4,2023-04-24 17:08:35,Public Goods,PG Small Grants,-1.0,-1842.51,ETH,1
0xcc3d6d4e9f27a7c6401fb9827f13049a730b65baab5141f2531945d0c1a559e4,2023-04-24 17:08:35,Public Goods,PG Small Grants,-1.0,-1842.51,ETH,1
0x5387f1efc3fe162d84ef011b90a9c0d4217a2839f0ba056269744381e6018d52,2023-05-26 00:00:00,Public Goods,Growth Grants,-10000.0,-10000.0,USDC,1
0x5387f1efc3fe162d84ef011b90a9c0d4217a2839f0ba056269744381e6018d52,2023-05-26 00:00:00,Public Goods,Growth Grants,-10000.0,-10000.0,USDC,1
0x5387f1efc3fe162d84ef011b90a9c0d4217a2839f0ba056269744381e6018d52,2023-05-26 00:00:00,Public Goods,Growth Grants,-10000.0,-10000.0,USDC,1
0x5387f1efc3fe162d84ef011b90a9c0d4217a2839f0ba056269744381e6018d52,2023-05-26 00:00:00,Public Goods,Growth Grants,-10000.0,-10000.0,USDC,1
0x5387f1efc3fe162d84ef011b90a9c0d4217a2839f0ba056269744381e6018d52,2023-05-26 00:00:00,Public Goods,Growth Grants,-10000.0,-10000.0,USDC,1
0xd99c1688de7a5d125dcb3b28d32c0a2aeee54f162c8ff7e151dd3ac46264897d,2023-06-05 00:00:00,Public Goods,Hackatons ,-1614.38,-1614.38,USDC,1
0xeadf737b591b5038791f9021653ef3c44f31a0af76bcf5dfb8369855b0d07431,2023-06-16 18:51:47,Public Goods,PG Small Grants,-1.0,-1716.91,ETH,1
0xeadf737b591b5038791f9021653ef3c44f31a0af76bcf5dfb8369855b0d07431,2023-06-16 18:51:47,Public Goods,PG Small Grants,-1.0,-1716.91,ETH,1
0xeadf737b591b5038791f9021653ef3c44f31a0af76bcf5dfb8369855b0d07431,2023-06-16 18:51:47,Public Goods,PG Small Grants,-1.0,-1716.91,ETH,1
0xeadf737b591b5038791f9021653ef3c44f31a0af76bcf5dfb8369855b0d07431,2023-06-16 18:51:47,Public Goods,PG Small Grants,-1.0,-1716.91,ETH,1
0xeadf737b591b5038791f9021653ef3c44f31a0af76bcf5dfb8369855b0d07431,2023-06-16 18:51:47,Public Goods,PG Small Grants,-1.0,-1716.91,ETH,1
0xeadf737b591b5038791f9021653ef3c44f31a0af76bcf5dfb8369855b0d07431,2023-06-16 18:51:47,Public Goods,PG Small Grants,-1.0,-1716.91,ETH,1
0xeadf737b591b5038791f9021653ef3c44f31a0af76bcf5dfb8369855b0d07431,2023-06-16 18:51:47,Public Goods,PG Small Grants,-1.0,-1716.91,ETH,1
0xeadf737b591b5038791f9021653ef3c44f31a0af76bcf5dfb8369855b0d07431,2023-06-16 18:51:47,Public Goods,PG Small Grants,-2.0,-3433.82,ETH,1
0xeadf737b591b5038791f9021653ef3c44f31a0af76bcf5dfb8369855b0d07431,2023-06-16 18:51:47,Public Goods,PG Small Grants,-1.0,-1716.91,ETH,1
0x2b3143e98186744c1bad9f054b21d84f462f3f86d4ed311c39a0462d04428c34,2023-07-10 00:00:00,Public Goods,Large Grants,-50000.0,-50000.0,USDC,1
0x2b3143e98186744c1bad9f054b21d84f462f3f86d4ed311c39a0462d04428c34,2023-07-10 00:00:00,Public Goods,Large Grants,-50000.0,-50000.0,USDC,1
0x2b3143e98186744c1bad9f054b21d84f462f3f86d4ed311c39a0462d04428c34,2023-07-10 00:00:00,Public Goods,Large Grants,-50000.0,-50000.0,USDC,1
0x2b3143e98186744c1bad9f054b21d84f462f3f86d4ed311c39a0462d04428c34,2023-07-10 00:00:00,Public Goods,Large Grants,-50000.0,-50000.0,USDC,1
0x5003229ee5091f540310eeb7d1efa81d63ee6d8f9e186f6a063e557a0d271639,2023-07-13 12:50:35,Public Goods,Discretionary Grants,-5.0,-10028.300000000001,ETH,1
0x5003229ee5091f540310eeb7d1efa81d63ee6d8f9e186f6a063e557a0d271639,2023-07-13 12:50:35,Public Goods,Discretionary Grants,-5.0,-10028.300000000001,ETH,1
0x5003229ee5091f540310eeb7d1efa81d63ee6d8f9e186f6a063e557a0d271639,2023-07-13 12:50:35,Public Goods,Discretionary Grants,-5.0,-10028.300000000001,ETH,1
0x0290ea1051f232095124d19f7f818bea74494792edcd0bfa18e9c5be1731b5f6,2023-07-25 00:00:00,UniSwap,Public Goods,102408.492634,102408.492634,USDC,1
0x0290ea1051f232095124d19f7f818bea74494792edcd0bfa18e9c5be1731b5f6,2023-07-25 13:53:35,Public Goods,UniSwap,-55.0,-102163.6,ETH,1
0x98abd61960644dfeb50be9b1b503dc280a0584123e700631751b38fea1c439ee,2023-10-10 00:00:00,Public Goods,Hackatons ,-2500.0,-2500.0,USDC,1
0xe1698c895d81670aedd7ae07fae7b3aafe4d96618e2fad2b03b34dcb30011873,2023-10-30 00:00:00,Public Goods,Large Grants,-20000.0,-20000.0,USDC,1
0xab71fc44ea9c169bad3f84eee474b57e64680757a7eac566c2cccc28ec02c516,2023-11-09 00:00:00,Public Goods,Hackatons ,-5000.0,-5000.0,USDC,1
0xc0da04297a4216218a3f2f7aea3d7f73691151d7e48a9b24836dc9dcf16c7ec7,2023-11-14 13:31:35,Public Goods,PG Small Grants,-0.3,-593.898,ETH,1
0xc0da04297a4216218a3f2f7aea3d7f73691151d7e48a9b24836dc9dcf16c7ec7,2023-11-14 13:31:35,Public Goods,PG Small Grants,-3.0,-5938.9800000000005,ETH,1
0xc0da04297a4216218a3f2f7aea3d7f73691151d7e48a9b24836dc9dcf16c7ec7,2023-11-14 13:31:35,Public Goods,PG Small Grants,-0.3,-593.898,ETH,1
0xc0da04297a4216218a3f2f7aea3d7f73691151d7e48a9b24836dc9dcf16c7ec7,2023-11-14 13:31:35,Public Goods,PG Small Grants,-0.3,-593.898,ETH,1
0xc0da04297a4216218a3f2f7aea3d7f73691151d7e48a9b24836dc9dcf16c7ec7,2023-11-14 13:31:35,Public Goods,PG Small Grants,-0.3,-593.898,ETH,1
0xc0da04297a4216218a3f2f7aea3d7f73691151d7e48a9b24836dc9dcf16c7ec7,2023-11-14 13:31:35,Public Goods,PG Small Grants,-5.0,-9898.300000000001,ETH,1
0xc0da04297a4216218a3f2f7aea3d7f73691151d7e48a9b24836dc9dcf16c7ec7,2023-11-14 13:31:35,Public Goods,PG Small Grants,-0.3,-593.898,ETH,1
0xc0da04297a4216218a3f2f7aea3d7f73691151d7e48a9b24836dc9dcf16c7ec7,2023-11-14 13:31:35,Public Goods,PG Small Grants,-0.3,-593.898,ETH,1
0xc0da04297a4216218a3f2f7aea3d7f73691151d7e48a9b24836dc9dcf16c7ec7,2023-11-14 13:31:35,Public Goods,PG Small Grants,-0.3,-593.898,ETH,1
0xc0da04297a4216218a3f2f7aea3d7f73691151d7e48a9b24836dc9dcf16c7ec7,2023-11-14 13:31:35,Public Goods,PG Small Grants,-2.0,-3959.32,ETH,1
0x7f95347e7d2e92858d678ab5ddd1c1f2dba127920aebf27dd66d72c22b79357c,2023-11-16 00:00:00,Public Goods,Large Grants,-10000.0,-10000.0,USDC,1
0x7f95347e7d2e92858d678ab5ddd1c1f2dba127920aebf27dd66d72c22b79357c,2023-11-16 00:00:00,Public Goods,Large Grants,-10000.0,-10000.0,USDC,1
0x7eadcd845362e160fa4a6f1918132c1b2c918fdb25e81cc3358ca11ef8daa1fe,2023-11-20 00:00:00,DAO Wallet,Public Goods,218204.0,218204.0,USDC,1
0x7eadcd845362e160fa4a6f1918132c1b2c918fdb25e81cc3358ca11ef8daa1fe,2023-11-20 18:35:35,DAO Wallet,Public Goods,35.0,70791.7,ETH,1
