Transaction Hash,Date,From,To,Value,DOT_USD,Symbol,Acquainted?
0x21bc1be5274041121d16e46bff3bcbc6056c822fd33253882c66dd076f85034a,2023-05-26 00:00:00,Ecosystem,Fellowship,-19989.7632,-19989.7632,USDC,1
0x75118f5e202d7b084b8b201bd883ef157d93dff0080625f071259d6e124314db,2023-05-30 00:00:00,Ecosystem,Fellowship,-5000.0,-5000.0,USDC,1
0xe664c0b1d5889fe2dbeb3da6b647384c509365021694e464500ad207caba04c5,2023-06-06 00:00:00,Ecosystem,Grants,-20000.0,-20000.0,USDC,1
0x41407e5c5414cd57eb5c9aa0dfb3b3a47c971675ba43a68e340fba6bb68073cc,2023-06-13 14:57:35,Ecosystem,Ecosystem Small Grants,-0.069,-120.00825,ETH,1
0x41407e5c5414cd57eb5c9aa0dfb3b3a47c971675ba43a68e340fba6bb68073cc,2023-06-13 14:57:35,Ecosystem,Ecosystem Small Grants,-0.069,-120.00825,ETH,1
0x41407e5c5414cd57eb5c9aa0dfb3b3a47c971675ba43a68e340fba6bb68073cc,2023-06-13 14:57:35,Ecosystem,Ecosystem Small Grants,-0.069,-120.00825,ETH,1
0x41407e5c5414cd57eb5c9aa0dfb3b3a47c971675ba43a68e340fba6bb68073cc,2023-06-13 14:57:35,Ecosystem,Ecosystem Small Grants,-0.069,-120.00825,ETH,1
0x951103a878f371bd875a98afdf6970e1b457ab6560bf662fff744c75e14ad943,2023-06-13 14:58:11,Ecosystem,Ecosystem Small Grants,-0.44,-765.27,ETH,1
0xb28c1e1ce97cfa67d20c5a9d70983a02305ffd4737a7d3b122d2050bb02cd708,2023-06-26 00:00:00,Ecosystem,Grants,-30000.0,-30000.0,USDC,1
0xa7612ccf35abd9c649740cf5cbbb1cc9e22fcf2ec58993796fb72f7ed256ff84,2023-06-26 00:00:00,Ecosystem,Grants,-30000.0,-30000.0,USDC,1
0x5aa36079dba621dcdce06a9ca41f59f647e6b888cd26715fe09a7808e9e0e33f,2023-06-26 12:16:23,Ecosystem,Ecosystem Small Grants,-0.7,-1301.433,ETH,1
0x5aa36079dba621dcdce06a9ca41f59f647e6b888cd26715fe09a7808e9e0e33f,2023-06-26 12:16:23,Ecosystem,Ecosystem Small Grants,-0.7,-1301.433,ETH,1
0x5aa36079dba621dcdce06a9ca41f59f647e6b888cd26715fe09a7808e9e0e33f,2023-06-26 12:16:23,Ecosystem,Ecosystem Small Grants,-0.7,-1301.433,ETH,1
0x5aa36079dba621dcdce06a9ca41f59f647e6b888cd26715fe09a7808e9e0e33f,2023-06-26 12:16:23,Ecosystem,Ecosystem Small Grants,-0.7,-1301.433,ETH,1
0x5aa36079dba621dcdce06a9ca41f59f647e6b888cd26715fe09a7808e9e0e33f,2023-06-26 12:16:23,Ecosystem,Ecosystem Small Grants,-0.7,-1301.433,ETH,1
0x5aa36079dba621dcdce06a9ca41f59f647e6b888cd26715fe09a7808e9e0e33f,2023-06-26 12:16:23,Ecosystem,Ecosystem Small Grants,-0.7,-1301.433,ETH,1
