Transaction Hash,Date,From,To,Value,DOT_USD,Symbol,Acquainted?
0xce4d0473e0acb5c962ef506895308b527f32fd3c2b9c69a30c98d9e80f0f88c4,2022-11-08 00:00:00,Metagov,Steward Compensation,-9665.0,-9661.45,USDC,1
0xce4d0473e0acb5c962ef506895308b527f32fd3c2b9c69a30c98d9e80f0f88c4,2022-11-08 00:00:00,Metagov,Steward Compensation,-1500.0,-1499.45,USDC,1
0xce4d0473e0acb5c962ef506895308b527f32fd3c2b9c69a30c98d9e80f0f88c4,2022-11-08 00:00:00,Metagov,Steward Compensation,-1500.0,-1499.45,USDC,1
0xce4d0473e0acb5c962ef506895308b527f32fd3c2b9c69a30c98d9e80f0f88c4,2022-11-08 00:00:00,Metagov,Steward Compensation,-7000.0,-6997.43,USDC,1
0xce4d0473e0acb5c962ef506895308b527f32fd3c2b9c69a30c98d9e80f0f88c4,2022-11-08 00:00:00,Metagov,Steward Compensation,-5000.0,-4998.17,USDC,1
0x46670673a610fdec51817cdb227353913e29f283ce81d6330a4b2a08b980629f,2022-11-29 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0x46670673a610fdec51817cdb227353913e29f283ce81d6330a4b2a08b980629f,2022-11-29 00:00:00,Metagov,Steward Compensation,-7000.0,-7000.0,USDC,1
0x46670673a610fdec51817cdb227353913e29f283ce81d6330a4b2a08b980629f,2022-11-29 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0x46670673a610fdec51817cdb227353913e29f283ce81d6330a4b2a08b980629f,2022-11-29 00:00:00,Metagov,Steward Compensation,-1500.0,-1500.0,USDC,1
0x46670673a610fdec51817cdb227353913e29f283ce81d6330a4b2a08b980629f,2022-11-29 00:00:00,Metagov,Steward Compensation,-5000.0,-5000.0,USDC,1
0x46670673a610fdec51817cdb227353913e29f283ce81d6330a4b2a08b980629f,2022-11-29 00:00:00,Metagov,Steward Compensation,-9665.0,-9665.0,USDC,1
0xdf821cb80860f015bff9ef1818cbb16e93682f071254f76a173db3db133dc534,2022-12-09 14:26:11,Metagov,Public Goods,-5.0,-6314.75,ETH,1
