Transaction Hash,Date,From,From_name,From_category,To,To_name,To_category,Value,DOT_USD,Symbol,Acquainted?
0xd3bb84dbd5d7175ef748d9c9ced9b18d6ea26974fb299cb71d562f8c2c3b5736,2020-02-10,0xf0ad5cad05e10572efceb849f6ff0c68f9700455,Old ETH Registrar Controller 1,Old ETH Registrar Controller 1,0x911143d946ba5d467bfc476491fdb235fef4d667,ENS Multisig,ENS Multisig,502.2020841271779,112046.30698961466,ETH,1
0x04ab2471cdb9d673c8fe918f90c5cff7751055e7e7217dc781b9d6760f73b14c,2020-02-10,0xb22c1c159d12461ea124b0deb4b5b93020e6ad16,Old ETH Registrar Controller 2,Old ETH Registrar Controller 2,0x911143d946ba5d467bfc476491fdb235fef4d667,ENS Multisig,ENS Multisig,1697.8631036695797,378810.2370597199,ETH,1
0xe5d93ac042d15bd6c310122d8912dd9797c12c628a0c7ea12cfa95d187debd49,2020-02-10,0x911143d946ba5d467bfc476491fdb235fef4d667,ENS Multisig,ENS Multisig,0xcf60916b6cb4753f58533808fa610fcbd4098ec0,Root Multisig,Root Multisig,-2272.253830454384,-506962.55211267766,ETH,1
